title,type,address,rating
Soluxe Hotel Moscow ,Гостиница,"​Улица Вильгельма Пика, 16, Москва",4.4
Птица-Синица ,Отель,"​Малый Гнездниковский переулок, 9 ст2, Москва",4.2
Mercure Арбат ,Отель,"​Смоленская площадь, 6, Москва",4.7
Красные ворота ,Отель,"​Садовая-Спасская улица, 17/2, Москва",4.6
Старосадский ,Отель,"​Старосадский переулок, 8 ст3, Москва",4.7
Arium ,Отель,"​Улица Малая Дмитровка, 25 ст3, Москва",4.5
Агиос на Курской ,Отель,"​Улица Воронцово Поле, 16 ст4, Москва",3.6
Сити отель 1905 ,Гостиницы,"​Шмитовский проезд, 3 ст1, Москва",4.6
Амбассадори ,Гостиница,"​Улица Остоженка, 32 ст1, Москва",4.6
Barin Residence Myasnitskaya ,Отель,"​Милютинский переулок, 2, Москва",4.9
Red Brick ,Отель,"​Хохловский переулок, 10 ст6, Москва",4.4
Netizen Moscow Rimskaya ,Хостел,"​БЦ Golden Gate, бульвар Энтузиастов, 2, Москва",4.4
Концерт ,Отель,"​Семёновский Вал улица, 6Б, Москва",4.0
Лубянка Арт Отель ,Гостиницы,"​Армянский переулок, 3-5 ст1а, Москва",4.1
1 арт отель ,Гостиницы,"​Староалексеевская улица, 20, Москва",4.9
Галерея Вояж ,Гостиницы,"​Автозаводская улица, 23 ст16, Москва",3.1
Даниловская ,Гостиница,"​Большой Староданиловский переулок, 5, Москва",4.6
Новый Арбат Резиденция ,Гостиница,"​Прямой переулок, 3 ст1, Москва",3.9
Сан-ремо ,Отель,"​Народная улица, 20 ст2, Москва",3.9
Грегори ,Отель,"​Бауманская улица, 58/3 ст5, Москва",4.8
Покровка 6 отель ,Гостиницы,"​Улица Покровка, 6, Москва",4.9
Мартон ВДНХ ,Гостиница,"​Улица Ярославская, 10 к2, Москва",4.3
Арт гранд Виктория ,Гостиница,"​Улица Щипок, 16 ст1, Москва",4.7
Истра Гарден Отель ,Гостиницы,"​3-я Песчаная улица, 2, Москва",4.0
Amato hotel ,Гостиницы,"​Сыромятнический проезд, 4 ст2, Москва",4.6
Мета Москва ,Отель,"​БЦ Яузская 5, Яузская улица, 5, Москва",4.7
Шереметьевский ,Парк-отель,"​Улица Вучетича, 32 ст2, Москва",4.8
Де Пари ,Бутик-отель,"​Улица Большая Бронная, 23 ст3, Москва",4.8
